PC: 1, Features in Ascending Load: ['Pkt Len Max', 'Pkt Len Std', 'Pkt Len Var', 'Pkt Len Mean', 'Pkt Size Avg', 'Fwd Pkt Len Mean', 'Bwd Pkt Len Mean', 'Bwd Pkt Len Std', 'Fwd Pkt Len Std', 'TotLen Fwd Pkts', 'Fwd Pkt Len Max', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Subflow Fwd Pkts', 'Tot Fwd Pkts', 'Bwd Pkt Len Max', 'TotLen Bwd Pkts', 'Bwd IAT Max', 'Bwd IAT Mean', 'Bwd IAT Tot', 'Bwd IAT Min', 'Bwd IAT Std', 'Fwd Pkts/s', 'Flow Pkts/s', 'Fwd Pkt Len Min', 'Pkt Len Min', 'Bwd Pkts/s', 'Bwd Pkt Len Min', 'Down/Up Ratio', 'Flow IAT Std', 'Fwd IAT Std', 'Flow IAT Mean', 'Fwd IAT Min', 'Flow Duration', 'Fwd IAT Mean', 'Flow IAT Max', 'Fwd IAT Tot', 'Flow IAT Min', 'Fwd IAT Max', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.39072684331590063
PC: 2, Features in Ascending Load: ['Fwd IAT Max', 'Flow IAT Max', 'Fwd IAT Mean', 'Flow IAT Mean', 'Fwd IAT Tot', 'Flow Duration', 'Fwd IAT Min', 'Flow IAT Min', 'Flow IAT Std', 'Fwd IAT Std', 'Tot Fwd Pkts', 'Subflow Fwd Pkts', 'Fwd Pkts/s', 'Down/Up Ratio', 'Flow Pkts/s', 'Bwd Pkts/s', 'Bwd Pkt Len Min', 'Bwd IAT Mean', 'Bwd IAT Max', 'Bwd IAT Tot', 'TotLen Fwd Pkts', 'Fwd Pkt Len Mean', 'Bwd IAT Min', 'Fwd Pkt Len Std', 'Fwd Pkt Len Max', 'Pkt Len Var', 'Pkt Len Max', 'Bwd IAT Std', 'Pkt Len Std', 'Pkt Len Mean', 'Pkt Size Avg', 'Bwd Pkt Len Std', 'TotLen Bwd Pkts', 'Bwd Pkt Len Max', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Bwd Pkt Len Mean', 'Fwd Pkt Len Min', 'Pkt Len Min', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.2051223603809176
PC: 3, Features in Ascending Load: ['Down/Up Ratio', 'Pkt Len Min', 'Fwd Pkt Len Min', 'Bwd Pkt Len Min', 'Tot Fwd Pkts', 'Subflow Fwd Pkts', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Bwd IAT Std', 'TotLen Bwd Pkts', 'Bwd Pkt Len Max', 'Bwd Pkt Len Mean', 'Fwd Pkt Len Max', 'TotLen Fwd Pkts', 'Fwd Pkt Len Std', 'Bwd IAT Tot', 'Bwd IAT Max', 'Pkt Size Avg', 'Bwd Pkt Len Std', 'Bwd IAT Min', 'Fwd Pkt Len Mean', 'Pkt Len Mean', 'Pkt Len Var', 'Bwd Pkts/s', 'Fwd IAT Std', 'Pkt Len Std', 'Bwd IAT Mean', 'Pkt Len Max', 'Flow Pkts/s', 'Flow IAT Std', 'Flow IAT Min', 'Fwd IAT Min', 'Flow IAT Mean', 'Fwd IAT Mean', 'Flow IAT Max', 'Flow Duration', 'Fwd IAT Max', 'Fwd IAT Tot', 'Fwd Pkts/s', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.11104658966669845
PC: 4, Features in Ascending Load: ['Flow Pkts/s', 'Bwd Pkts/s', 'Fwd Pkts/s', 'Pkt Len Min', 'Fwd Pkt Len Min', 'Bwd Pkt Len Min', 'Bwd IAT Std', 'Bwd IAT Tot', 'Bwd IAT Max', 'Down/Up Ratio', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Bwd Pkt Len Std', 'Bwd Pkt Len Max', 'Pkt Size Avg', 'Fwd Pkt Len Mean', 'TotLen Bwd Pkts', 'Fwd Pkt Len Max', 'TotLen Fwd Pkts', 'Bwd IAT Mean', 'Pkt Len Mean', 'Tot Fwd Pkts', 'Subflow Fwd Pkts', 'Fwd Pkt Len Std', 'Bwd Pkt Len Mean', 'Bwd IAT Min', 'Pkt Len Var', 'Flow IAT Std', 'Fwd IAT Std', 'Pkt Len Max', 'Pkt Len Std', 'Fwd IAT Mean', 'Flow IAT Min', 'Fwd IAT Max', 'Fwd IAT Min', 'Flow IAT Mean', 'Flow IAT Max', 'Fwd IAT Tot', 'Flow Duration', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.08271898401587255
PC: 5, Features in Ascending Load: ['Bwd IAT Tot', 'Bwd IAT Max', 'Bwd IAT Mean', 'Bwd IAT Std', 'Flow Pkts/s', 'Bwd Pkts/s', 'Fwd Pkts/s', 'Bwd IAT Min', 'Fwd Pkt Len Max', 'Fwd Pkt Len Mean', 'Pkt Size Avg', 'Fwd Pkt Len Std', 'TotLen Fwd Pkts', 'Pkt Len Mean', 'Fwd IAT Std', 'Bwd Pkt Len Min', 'Fwd Pkt Len Min', 'Pkt Len Min', 'Down/Up Ratio', 'Bwd Pkt Len Mean', 'Pkt Len Std', 'Pkt Len Max', 'Pkt Len Var', 'Flow IAT Std', 'Subflow Bwd Pkts', 'Tot Bwd Pkts', 'Subflow Fwd Pkts', 'Tot Fwd Pkts', 'Bwd Pkt Len Std', 'TotLen Bwd Pkts', 'Flow IAT Min', 'Fwd IAT Min', 'Flow IAT Mean', 'Fwd IAT Mean', 'Bwd Pkt Len Max', 'Flow IAT Max', 'Fwd IAT Max', 'Flow Duration', 'Fwd IAT Tot', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.06827068498390758
PC: 6, Features in Ascending Load: ['Bwd IAT Min', 'Bwd IAT Mean', 'Bwd Pkt Len Max', 'TotLen Bwd Pkts', 'Fwd Pkt Len Min', 'Pkt Len Min', 'Bwd Pkt Len Min', 'Bwd Pkt Len Std', 'Flow Pkts/s', 'Bwd Pkts/s', 'Fwd Pkts/s', 'TotLen Fwd Pkts', 'Bwd IAT Max', 'Fwd Pkt Len Max', 'Fwd Pkt Len Mean', 'Bwd IAT Tot', 'Fwd Pkt Len Std', 'Bwd IAT Std', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Bwd Pkt Len Mean', 'Pkt Size Avg', 'Subflow Fwd Pkts', 'Tot Fwd Pkts', 'Fwd IAT Std', 'Pkt Len Mean', 'Pkt Len Var', 'Flow IAT Std', 'Pkt Len Std', 'Pkt Len Max', 'Down/Up Ratio', 'Flow IAT Min', 'Fwd IAT Min', 'Flow IAT Mean', 'Fwd IAT Mean', 'Fwd IAT Tot', 'Flow IAT Max', 'Flow Duration', 'Fwd IAT Max', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.05600825969007723
PC: 7, Features in Ascending Load: ['Flow IAT Std', 'Fwd IAT Std', 'Bwd Pkts/s', 'Subflow Fwd Pkts', 'Tot Fwd Pkts', 'Flow Pkts/s', 'Bwd IAT Max', 'Bwd IAT Tot', 'Bwd Pkt Len Min', 'Fwd Pkt Len Min', 'Pkt Len Min', 'Bwd IAT Std', 'Fwd Pkts/s', 'Bwd IAT Mean', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Down/Up Ratio', 'Bwd IAT Min', 'Bwd Pkt Len Std', 'Bwd Pkt Len Max', 'Pkt Size Avg', 'Fwd Pkt Len Mean', 'TotLen Bwd Pkts', 'Pkt Len Mean', 'Fwd Pkt Len Max', 'TotLen Fwd Pkts', 'Flow IAT Min', 'Bwd Pkt Len Mean', 'Fwd Pkt Len Std', 'Fwd IAT Min', 'Flow IAT Mean', 'Pkt Len Var', 'Flow Duration', 'Fwd IAT Mean', 'Fwd IAT Tot', 'Pkt Len Std', 'Pkt Len Max', 'Flow IAT Max', 'Fwd IAT Max', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.04013679483240596
PC: 8, Features in Ascending Load: ['Bwd IAT Min', 'Bwd IAT Std', 'Bwd IAT Tot', 'Bwd IAT Mean', 'TotLen Bwd Pkts', 'Bwd Pkt Len Max', 'TotLen Fwd Pkts', 'Bwd Pkt Len Std', 'Fwd Pkt Len Mean', 'Fwd Pkt Len Max', 'Fwd Pkt Len Std', 'Fwd Pkt Len Min', 'Pkt Len Min', 'Tot Fwd Pkts', 'Subflow Fwd Pkts', 'Down/Up Ratio', 'Subflow Bwd Pkts', 'Tot Bwd Pkts', 'Bwd Pkt Len Min', 'Bwd Pkt Len Mean', 'Bwd IAT Max', 'Fwd Pkts/s', 'Flow Pkts/s', 'Pkt Size Avg', 'Flow IAT Std', 'Pkt Len Mean', 'Bwd Pkts/s', 'Pkt Len Var', 'Fwd IAT Std', 'Pkt Len Max', 'Pkt Len Std', 'Flow Duration', 'Fwd IAT Min', 'Fwd IAT Tot', 'Fwd IAT Mean', 'Flow IAT Max', 'Fwd IAT Max', 'Flow IAT Min', 'Flow IAT Mean', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.018448495235597
PC: 9, Features in Ascending Load: ['Flow IAT Std', 'Fwd IAT Std', 'Tot Fwd Pkts', 'Subflow Fwd Pkts', 'Bwd IAT Std', 'TotLen Fwd Pkts', 'Fwd Pkt Len Max', 'Fwd Pkt Len Std', 'Bwd IAT Tot', 'Bwd IAT Min', 'Pkt Len Min', 'Fwd Pkt Len Min', 'Down/Up Ratio', 'Fwd Pkt Len Mean', 'Bwd Pkt Len Max', 'Bwd IAT Max', 'Pkt Len Var', 'TotLen Bwd Pkts', 'Pkt Len Std', 'Pkt Len Max', 'Bwd Pkts/s', 'Bwd Pkt Len Std', 'Bwd Pkt Len Min', 'Flow IAT Min', 'Fwd IAT Min', 'Pkt Len Mean', 'Subflow Bwd Pkts', 'Tot Bwd Pkts', 'Flow Pkts/s', 'Bwd Pkt Len Mean', 'Fwd IAT Mean', 'Fwd Pkts/s', 'Fwd IAT Tot', 'Pkt Size Avg', 'Flow IAT Mean', 'Flow Duration', 'Flow IAT Max', 'Bwd IAT Mean', 'Fwd IAT Max', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.010846289426115091
PC: 10, Features in Ascending Load: ['Down/Up Ratio', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Fwd Pkts/s', 'Bwd Pkt Len Mean', 'Bwd Pkt Len Max', 'Bwd Pkt Len Min', 'TotLen Bwd Pkts', 'Bwd Pkt Len Std', 'TotLen Fwd Pkts', 'Flow Pkts/s', 'Pkt Len Var', 'Fwd Pkt Len Max', 'Pkt Size Avg', 'Fwd Pkt Len Std', 'Bwd IAT Max', 'Fwd Pkt Len Mean', 'Pkt Len Mean', 'Bwd IAT Std', 'Pkt Len Min', 'Fwd Pkt Len Min', 'Bwd IAT Tot', 'Pkt Len Std', 'Bwd Pkts/s', 'Pkt Len Max', 'Subflow Fwd Pkts', 'Tot Fwd Pkts', 'Bwd IAT Mean', 'Flow IAT Std', 'Fwd IAT Std', 'Bwd IAT Min', 'Fwd IAT Tot', 'Flow IAT Min', 'Flow IAT Mean', 'Flow Duration', 'Fwd IAT Min', 'Flow IAT Max', 'Fwd IAT Mean', 'Fwd IAT Max', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.00544418758778862
PC: 11, Features in Ascending Load: ['Subflow Fwd Pkts', 'Tot Fwd Pkts', 'Tot Bwd Pkts', 'Subflow Bwd Pkts', 'Bwd Pkt Len Min', 'Fwd Pkts/s', 'Down/Up Ratio', 'Pkt Len Var', 'Fwd Pkt Len Max', 'Fwd Pkt Len Std', 'Bwd Pkts/s', 'TotLen Fwd Pkts', 'Fwd Pkt Len Mean', 'Bwd IAT Tot', 'Pkt Len Max', 'Pkt Len Std', 'Fwd IAT Std', 'Bwd IAT Std', 'Bwd Pkt Len Std', 'Bwd IAT Max', 'TotLen Bwd Pkts', 'Pkt Size Avg', 'Flow Pkts/s', 'Pkt Len Mean', 'Bwd IAT Mean', 'Flow IAT Std', 'Pkt Len Min', 'Bwd IAT Min', 'Bwd Pkt Len Max', 'Fwd Pkt Len Min', 'Bwd Pkt Len Mean', 'Flow Duration', 'Flow IAT Mean', 'Fwd IAT Tot', 'Flow IAT Min', 'Fwd IAT Mean', 'Fwd IAT Max', 'Fwd IAT Min', 'Flow IAT Max', 'Fwd Pkts/b Avg', 'Fwd Blk Rate Avg', 'Bwd Pkts/b Avg', 'Bwd Blk Rate Avg', 'Active Mean', 'Active Std', 'Active Max', 'Active Min', 'Idle Mean', 'Idle Std', 'Idle Max', 'Idle Min'], PEV: 0.003633788743654621
